,Vaipito_Wx,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
0,                    ,Solar Rad (wat/m2),RH (%),Temperature (*F),Rainfall (In),Wind Dir (Deg),Wind Gust (mph),Wind Speed (mph),Dew Point (*F)
1,                    ,wat/m2,%,*F,In,Deg,mph,mph,*F
2,Date and Time   ,SRD,HMD,TMP,RNF,WND,WNG,WNS,DEW
3,2016-05-17 13:45:00,279,84.8,80,0.01,290,7,6,75.1
4,2016-05-17 14:00:00,399,84.2,80.2,0,220,7,0,75.1
5,2016-05-17 14:15:00,213,82,80.5,0,169,8,0,74.6
6,2016-05-17 14:30:00,246,85.5,80.1,0,194,7,1,75.4
7,2016-05-17 14:45:00,197,85.5,79.5,0.01,213,7,0,74.8
8,2016-05-17 15:00:00,182,83.6,79.4,0,221,10,1,74.1
9,2016-05-17 15:15:00,138,83,79.7,0,121,5,0,74.2
10,2016-05-17 15:30:00,142,81.6,79.9,0,159,7,1,73.9
11,2016-05-17 15:45:00,183,78,80.1,0,163,12,3,72.8
12,2016-05-17 16:00:00,136,77.2,80.2,0,204,13,2,72.6
13,2016-05-17 16:15:00,107,81.6,80,0,204,6,1,74
14,2016-05-17 16:30:00,94,79.9,79.8,0,224,11,1,73.2
15,2016-05-17 16:45:00,57,80.4,79.8,0,184,9,0,73.3
16,2016-05-17 17:00:00,46,79.2,79.9,0,139,8,2,73
17,2016-05-17 17:15:00,37,80.5,79.8,0,206,10,2,73.4
18,2016-05-17 17:30:00,34,80.5,79.5,0,217,2,0,73.1
19,2016-05-17 17:45:00,16,82.4,79.2,0,201,5,0,73.5
20,2016-05-17 18:00:00,4,82.5,79,0,223,0,0,73.3
21,2016-05-17 18:15:00,0,83.2,78.8,0,271,5,0,73.3
22,2016-05-17 18:30:00,0,79.2,79.1,0,173,11,2,72.2
23,2016-05-17 18:45:00,0,80.5,79.8,0,230,12,1,73.4
24,2016-05-17 19:00:00,0,80.1,79.5,0,194,6,1,72.9
25,2016-05-17 19:15:00,0,80.1,79.6,0,206,5,0,73
26,2016-05-17 19:30:00,0,81.6,79.5,0,255,3,0,73.5
27,2016-05-17 19:45:00,0,79.5,79.5,0,240,9,0,72.7
28,2016-05-17 20:00:00,0,80.5,79.4,0,168,5,0,73
29,2016-05-17 20:15:00,0,80.6,79.2,0,230,2,0,72.8
30,2016-05-17 20:30:00,0,80.4,79.2,0,227,4,0,72.8
31,2016-05-17 20:45:00,0,80,79.3,0,278,1,0,72.7
32,2016-05-17 21:00:00,0,79.3,79.3,0,184,6,0,72.5
33,2016-05-17 21:15:00,0,79.8,79.4,0,249,5,0,72.7
34,2016-05-17 21:30:00,0,80,79.4,0,247,8,0,72.8
35,2016-05-17 21:45:00,0,80,79.2,0,275,6,0,72.6
36,2016-05-17 22:00:00,0,80.1,79.4,0,247,4,0,72.8
37,2016-05-17 22:15:00,0,80.9,79.3,0,165,4,0,73
38,2016-05-17 22:30:00,0,80.2,79.2,0,261,4,0,72.7
39,2016-05-17 22:45:00,0,79.8,79.4,0,224,4,0,72.7
40,2016-05-17 23:00:00,0,80.6,79.4,0,197,2,0,73
41,2016-05-17 23:15:00,0,81.6,79.4,0,340,1,0,73.4
42,2016-05-17 23:30:00,0,81.4,79.4,0,136,5,0,73.3
43,2016-05-17 23:45:00,0,79.9,79.9,0,172,10,1,73.3
44,2016-05-18 00:00:00,0,81.3,79.6,0,180,2,0,73.5
45,2016-05-18 00:15:00,0,81.9,79.5,0,245,2,0,73.6
46,2016-05-18 00:30:00,0,82.6,79.5,0,129,4,0,73.8
47,2016-05-18 00:45:00,0,81.6,79.5,0,100,3,0,73.5
48,2016-05-18 01:00:00,0,82.5,79.4,0,193,6,0,73.7
49,2016-05-18 01:15:00,0,79.2,79.9,0,141,8,2,73
50,2016-05-18 01:30:00,0,80.4,80.1,0,172,10,0,73.6
51,2016-05-18 01:45:00,0,85.7,79.2,0,280,7,0,74.6
52,2016-05-18 02:00:00,0,86.7,78.3,0,224,3,0,74
53,2016-05-18 02:15:00,0,86.3,78.5,0,168,5,0,74.1
54,2016-05-18 02:30:00,0,84.9,78.6,0,271,9,0,73.7
55,2016-05-18 02:45:00,0,84.9,78.6,0,221,4,0,73.7
56,2016-05-18 03:00:00,0,84.3,78.8,0,170,2,0,73.7
57,2016-05-18 03:15:00,0,84,79,0,211,2,0,73.8
58,2016-05-18 03:30:00,0,83.3,78.9,0,91,1,0,73.5
59,2016-05-18 03:45:00,0,81.9,78.9,0,204,2,0,73
60,2016-05-18 04:00:00,0,81.7,78.9,0,108,6,0,72.9
61,2016-05-18 04:15:00,0,81.4,79,0,220,4,0,72.9
62,2016-05-18 04:30:00,0,80.1,79.2,0,141,10,1,72.6
63,2016-05-18 11:30:00,431,81.1,80,0.13,160,281,7,73.8
64,2016-05-18 11:45:00,339,83.4,80.2,0.02,208,8,0,74.8
