Vaipito_Wx,,,,,,,,,
                    ,Solar Rad (wat/m2),RH (%),Temperature (*F),Rainfall (In),Wind Dir (Deg),Wind Gust (mph),Wind Speed (mph),Dew Point (*F),
                    ,wat/m2,%,*F,In,Deg,mph,mph,*F,
Date and Time   ,SRD,HMD,TMP,RNF,WND,WNG,WNS,DEW,Notes
9/2/2015 13:00,312,57.5,77.8,0.61,244,19,2,61.8,
9/2/2015 14:15,977,56.5,82.7,0,350,7,2,65.9,
9/6/2015 13:15,929,36,82.9,0,256,385,9,53.1,
9/6/2015 17:15,293,58.1,78.6,0,293,,139,62.8,
9/8/2015 6:30,165,65.4,76.8,0,228,,216,64.5,
9/9/2015 3:00,53,72.6,76.4,0,269,,150,67.1,
9/9/2015 4:45,95,69.2,75.7,0,317,22,4,65.1,
9/13/2015 2:30,197,80.3,76,1.52,255,,1393,69.6,
9/13/2015 3:45,1,95.3,72.8,0.11,221,5,0,71.3,
9/13/2015 7:00,32,92.4,71.4,0.01,223,8,0,69.1,
9/13/2015 8:00,53,92.9,72.4,0.09,238,10,0,70.2,
9/13/2015 10:15,275,78.4,74.4,0,241,5,1,67.4,
9/15/2015 2:30,151,91.5,74.6,0.34,228,,315,71.9,
9/15/2015 2:45,0,91.6,71.9,0.04,207,5,0,69.3,
9/15/2015 5:15,0,86.9,72.9,0.01,132,10,0,68.8,
9/15/2015 7:00,8,82.9,73.9,0,214,3,0,68.4,
9/15/2015 7:15,58,83.7,74.3,0,118,4,0,69.1,
9/15/2015 8:00,101,81.3,75.1,0,175,9,0,69.1,
9/15/2015 8:15,82,80.2,75.7,0,184,102,9,69.3,
9/15/2015 12:00,277,75.5,79.1,0,203,,54,70.9,
9/15/2015 15:45,87,76.2,76.4,0,338,1,0,68.5,
9/16/2015 5:30,82,91.7,76,0.14,252,,1284,73.4,
9/16/2015 10:15,135,79.7,74.6,0.01,186,959,24,68,
9/16/2015 12:45,288,78,76.4,0.04,234,153,6,69.2,
9/16/2015 17:30,79,77.3,77.1,0,293,12,1,69.6,
9/16/2015 17:45,26,76.2,76.9,0,169,6,0,69,
9/16/2015 18:15,9,76.4,76.7,0,278,3,0,68.9,
9/16/2015 20:00,0,76.7,76.8,0,248,8,1,69.1,
9/16/2015 20:15,0,77.1,76.9,0,306,8,2,69.3,
9/16/2015 20:30,0,77.4,76.9,0,262,69,3,69.4,
9/16/2015 21:15,0,76.6,76.9,0,218,5,1,69.1,
9/16/2015 21:30,0,76.7,77,0,296,16,2,69.3,
9/21/2015 16:00,192,74.2,79.6,1.11,251,1884,0,70.8,
9/22/2015 14:45,321,72.1,84.5,0,172,,1,74.8,
9/23/2015 13:45,620,63.8,85.3,0,183,,295,71.9,
9/23/2015 16:00,204,68.3,82.3,0,122,3,0,71.1,
9/23/2015 16:30,201,68.2,82.2,0,175,3,1,70.9,
9/24/2015 10:15,138,73.7,81.5,0,255,1812,1,72.5,
9/24/2015 14:45,332,74.2,81.6,0,248,2,1,72.8,
9/24/2015 15:00,389,74.7,82.1,0,268,4,1,73.5,
9/24/2015 15:30,769,73.9,81,0,280,2,1,72.1,
9/26/2015 11:00,506,62.4,83,0.13,211,,168,69.1,
9/26/2015 11:30,1066,64.8,85.9,0,323,8,3,73,
9/26/2015 12:45,924,66.3,84.1,0,295,261,8,71.9,
9/26/2015 15:00,808,63.4,85.6,0,235,35,3,72,
9/27/2015 12:00,367,70.9,83.8,0.01,160,397,8,73.6,
9/27/2015 13:30,577,69.9,84.8,0,132,172,3,74.1,
9/27/2015 14:00,900,71.3,84.3,0,145,2,1,74.2,
9/27/2015 14:45,293,70.8,84.1,0,261,133,13,73.8,
9/27/2015 15:45,436,71,84.9,0,200,36,2,74.7,
9/27/2015 16:00,160,76.6,83.4,0,145,176,6,75.4,
9/27/2015 17:15,89,80.3,81.6,0,225,25,0,75.1,
